Reference,Component,Part Number,Package,Quantity_Main,Quantity_Macro,Quantity_Dongle,Cost Est,Supplier,Notes
U1,RP2040 Plus Module,Waveshare/Generic,Module,-,1,1,1,$6-8,AliExpress,Pre-assembled with USB-C and regulator
U2,nRF24L01+ PA/LNA,GH3801,Module,-,1,1,1,$2-4,LCSC/AliExpress,PCB antenna version (no external SMA)
U3,SSD1327 OLED,SSD1327,1.3" Module,1,1,0,$5-8,LCSC/AliExpress,128x128 monochrome SPI display
U4,TP4056,TP4056,SOT-26,1,1,0,$1-2,LCSC,Battery charger IC
U5,PCF8574,PCF8574,DIP-16/SOIC-16,1,0,0,$1-2,LCSC,I2C GPIO expander (8 ports)
C1,Capacitor,GRM21BR61A106,0805,2,2,1,$0.30,LCSC,10µF power filtering
C2,Capacitor,GRM155R71C104,0603,4,4,2,$0.40,LCSC,100nF decoupling
Y1,12MHz Crystal,12MHz,SMD-3225,1,0,1,$0.20,LCSC,For RP2040 and dongle (if needed)
J1,USB-C Connector,USB4085-GF,USB-C 16-pin,0,0,0,Included,N/A,"On RP2040 Plus module, no separate part needed"
J2,JST 2-Pin Connector,PH2-2.0,JST-XH,1,1,0,$0.20,LCSC,Battery connector
J3,Magnetic Connector,6-pin waterproof,Custom,1,1,0,$5-10,AliExpress,Pre-made 6-pin magnetic dock connector
D1-D68,Diode,1N4148WS,SOD-123,68,0,0,$1-2,LCSC,Matrix diodes (1 per switch main)
D1-D9,Diode,1N4148WS,SOD-123,0,9,0,$0.15,LCSC,Matrix diodes (1 per switch macro)
F1,Polyfuse,MF-NSML050,0603,1,1,1,$0.50,LCSC,500mA resettable fuse
R1-R2,Resistor,RC0603JR-0722,0603,2,2,2,$0.10,LCSC,22 Ohm USB termination
R3-R4,Resistor,RC0603JR-07100K,0603,2,2,1,$0.10,LCSC,10k I2C pull-up (if needed)
SW1-SW68,Hot-swap Socket,Kailh,Hot-swap,68,0,0,$20-40,KBDFans,Keyboard switches main
SW1-SW9,Hot-swap Socket,Kailh,Hot-swap,0,9,0,$3-5,KBDFans,Macropad switches
KC1,Keycaps 65%,Cherry Profile,1u-2.75u,68,0,0,$25-50,Amazon/AliExpress,Main keyboard keycaps
KC2,Keycaps 1u,Cherry Profile,1u,0,9,0,$5-10,Amazon/AliExpress,Macropad keycaps
BT1,LiPo Battery,3.7V 1000mAh,Cylinder,-,1,0,$8-12,AliExpress,Main keyboard
BT2,LiPo Battery,3.7V 500mAh,Cylinder,-,1,0,$5-8,AliExpress,Macropad
PCB,PCB,JLCPCB,FR-4 2-layer,1,1,1,$20-30,JLCPCB,3 boards (main + macro + dongle)
